cell_id,month_date,count_last_1m,count_last_3m,count_last_6m,max_mag_last_3m,max_mag_last_6m,avg_mag_last_6m,avg_depth_last_6m,max_depth_last_6m,max_sig_last_3m,avg_mmi_last_3m,avg_cdi_last_3m,months_since_last_quake,trend_3m_minus_6m_avg,max_mag_last_12m,y_prob,y_class,next_month_max_mag
23.0_121.0,2003-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.9
27.5_86.0,2015-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.3
36.0_141.5,2008-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.5
36.0_71.0,2005-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.6
36.5_70.0,2002-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.5
37.5_141.5,2010-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.1
37.5_141.5,2021-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,0.0,0.0,1,1,7.3
37.5_142.5,2003-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.9
38.0_141.5,2011-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,1,1,7.0
38.0_141.5,2021-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,0.0,0.0,0,-1,6.9
38.0_142.0,2005-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.5
38.0_142.0,2005-12-01,0,0,1,0.0,7.2,7.2,36.0,36.0,0.0,0.0,0.0,4,-0.5,7.2,1,2,9.1
41.5_143.5,2003-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.8
41.5_143.5,2003-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.8
50.0_87.5,2003-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.7
50.5_157.0,2013-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.5
51.5_95.5,2011-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.7
55.0_-158.0,2021-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.9
55.0_-158.0,2021-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.9
6.0_123.0,2010-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.6
6.5_125.0,2019-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.8
6.5_125.0,2019-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.8
7.5_-83.0,2002-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0,0,-1,6.6
7.5_-83.0,2014-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,0.0,0.0,0,-1,6.7
