month_date,latitude,longitude,magnitude,depth,sig,mmi,cdi
2016-04-01,23.0944,94.8654,6.9,136.0,903,6,6
2016-04-01,36.4725,71.1311,6.6,212.0,738,4,6
2016-04-01,-13.9805,166.594,6.7,27.59,692,5,7
2016-04-01,-14.0683,166.624,6.7,24.0,691,6,7
2016-04-01,-14.3235,166.855,6.9,26.0,734,6,7
2016-03-01,-4.9521,94.3299,7.8,24.0,948,3,4
2016-01-01,53.9776,158.546,7.2,177.0,799,7,3
2016-01-01,59.6204,-153.339,7.1,125.6,1496,7,7
2016-01-01,18.8239,-106.934,6.6,10.0,673,4,3
2016-01-01,41.9723,142.781,6.7,46.0,717,6,5
2016-01-01,3.8965,126.862,6.5,13.0,651,6,3
2016-01-01,24.8036,93.6505,6.7,55.0,1515,7,8
2015-12-01,15.8015,-93.633,6.6,85.0,765,6,8
2015-12-01,-4.1064,129.508,6.9,21.0,738,5,8
2015-12-01,38.2107,72.7797,7.2,22.0,827,7,4
2015-11-01,-9.1825,-71.2574,6.7,602.75,691,3,2
2015-11-01,-10.0598,-71.0184,7.6,620.56,896,4,5
2015-11-01,-10.5372,-70.9437,7.6,606.21,957,5,6
2015-11-01,-8.8994,158.422,6.8,12.59,715,6,5
2015-11-01,38.67,20.6,6.5,11.0,1018,7,7
2015-11-01,31.0009,128.873,6.7,12.0,702,4,5
2015-11-01,-29.5097,-72.0585,6.9,10.0,744,6,5
2015-11-01,-29.5067,-72.0068,6.9,12.0,761,6,6
2015-11-01,6.8431,94.648,6.6,10.0,675,4,7
2015-11-01,-30.8796,-71.4519,6.8,46.0,841,7,7
2015-11-01,-8.3381,124.875,6.5,20.0,657,7,5
2015-10-01,36.5244,70.3676,7.5,231.0,1448,7,8
2015-10-01,-14.8595,167.303,7.1,135.0,780,6,6
2015-09-01,-0.6212,131.262,6.6,18.0,671,7,7
2015-09-01,-31.7275,-71.3792,6.6,35.0,820,7,5
2015-09-01,-31.5173,-71.804,6.7,23.0,718,7,5
2015-09-01,-31.4244,-71.6876,6.5,27.0,657,7,6
2015-09-01,-31.5622,-71.4262,7.0,28.41,799,7,8
2015-09-01,-31.5729,-71.6744,8.3,22.44,1960,8,9
2015-09-01,24.913,-109.623,6.7,10.0,708,5,5
2015-08-01,-9.3293,157.877,6.5,6.43,650,5,0
2015-08-01,-9.3438,158.053,6.6,22.0,671,5,3
2015-07-01,-2.6286,138.528,7.0,48.0,762,7,9
2015-07-01,52.376,-169.446,6.9,29.0,734,7,4
2015-07-01,-10.4012,165.141,7.0,11.0,759,6,8
2015-07-01,13.8672,-58.5479,6.5,20.0,686,4,4
2015-07-01,-9.307,158.403,6.7,12.0,691,5,4
2015-06-01,27.7375,139.725,6.5,460.0,652,4,3
2015-05-01,27.8386,140.493,7.8,664.0,1151,3,6
2015-05-01,56.594,-156.43,6.8,72.6,762,6,5
2015-05-01,-11.1093,163.215,6.8,10.0,711,5,1
